example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,gate_fs,challenger_fs,default_gate_value,default_low_confidence,default_challenger_agree,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response,_routed_row_index,latency_case,latency_sample_index,case_full_count,case_full_ratio,case_sample_count,full_total_count,sample_seed
403,"{""choices"": ""[\""Dog\"", \""Cat\"", \""Rabbit\"", \""Spider\""]"", ""correct_choice"": ""D"", ""question"": ""What animal shape is the movable camera in the film?"", ""video_id"": ""1_plotQA/movie101_70""}",1_plotQA/movie101_70,What animal shape is the movable camera in the film?,"[""Dog"", ""Cat"", ""Rabbit"", ""Spider""]",plotQA,D,D,D,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.9661410478875041,False,True,0.9661410478875041,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,403,case1_high_confidence,0,1274,0.5860165593,30,2174,2026
999,"{""choices"": ""[\""On the table\"", \""In the shelf.\"", \""Under the bed\"", \""In the fridge\""]"", ""correct_choice"": ""B"", ""question"": ""Where did I put the red cap bottle?"", ""video_id"": ""3_ego/ego_32""}",3_ego/ego_32,Where did I put the red cap bottle?,"[""On the table"", ""In the shelf."", ""Under the bed"", ""In the fridge""]",ego,B,B,B,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.8746192418038845,False,True,0.8746192418038845,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,999,case1_high_confidence,1,1274,0.5860165593,30,2174,2026
1881,"{""choices"": ""[\""Vandalism\"", \""Abuse\"", \""Fighting\"", \""Arson\""]"", ""correct_choice"": ""A"", ""question"": ""Does this surveillance footage contain any anomalies? If yes, which kind of anomaly?"", ""video_id"": ""6_anomaly_reco/surveil_72""}",6_anomaly_reco/surveil_72,"Does this surveillance footage contain any anomalies? If yes, which kind of anomaly?","[""Vandalism"", ""Abuse"", ""Fighting"", ""Arson""]",anomaly_reco,A,D,A,0.0,1.0,route_224,prob_margin,0.5,lt,224,112,0.7599807232618332,False,False,0.7599807232618332,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1881,case1_high_confidence,2,1274,0.5860165593,30,2174,2026
1907,"{""choices"": ""[\""Vandalism\"", \""Shooting\"", \""Burglary\"", \""Arrest\""]"", ""correct_choice"": ""C"", ""question"": ""Are there any irregularities in this surveillance video? If there are, what sort are they?"", ""video_id"": ""6_anomaly_reco/surveil_96""}",6_anomaly_reco/surveil_96,"Are there any irregularities in this surveillance video? If there are, what sort are they?","[""Vandalism"", ""Shooting"", ""Burglary"", ""Arrest""]",anomaly_reco,C,C,C,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.8568901494145393,False,True,0.8568901494145393,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1907,case1_high_confidence,3,1274,0.5860165593,30,2174,2026
346,"{""choices"": ""[\""They ran away quickly\"", \""They lay down to hide\"", \""They rolled out a cannon to fight\"", \""They set up a machine gun\""]"", ""correct_choice"": ""C"", ""question"": ""What preparation did the soldiers in the camp make to fight against the enemy's tanks?"", ""video_id"": ""1_plotQA/movie101_52""}",1_plotQA/movie101_52,What preparation did the soldiers in the camp make to fight against the enemy's tanks?,"[""They ran away quickly"", ""They lay down to hide"", ""They rolled out a cannon to fight"", ""They set up a machine gun""]",plotQA,C,C,D,1.0,0.0,route_112,prob_margin,0.5,lt,224,112,0.5514067560434341,False,False,0.5514067560434341,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,346,case1_high_confidence,4,1274,0.5860165593,30,2174,2026
731,"{""choices"": ""[\""On a mountain\"", \""In a forest\"", \""In a desert\"", \""In a city\""]"", ""correct_choice"": ""C"", ""question"": ""What is the setting of the scene where the SUV is parked for green screen or chroma key?"", ""video_id"": ""2_needle/needle_42""}",2_needle/needle_42,What is the setting of the scene where the SUV is parked for green screen or chroma key?,"[""On a mountain"", ""In a forest"", ""In a desert"", ""In a city""]",findNeedle,C,C,C,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.968618837185204,False,True,0.968618837185204,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,731,case1_high_confidence,5,1274,0.5860165593,30,2174,2026
2125,"{""choices"": ""[\""Romance\"", \""Thriller\"", \""Mystery\"", \""Action\""]"", ""correct_choice"": ""A"", ""question"": ""What type of film is this?"", ""video_id"": ""7_topic_reasoning/movie101_61""}",7_topic_reasoning/movie101_61,What type of film is this?,"[""Romance"", ""Thriller"", ""Mystery"", ""Action""]",topic_reasoning,A,A,A,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.8827857635915279,False,True,0.8827857635915279,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,2125,case1_high_confidence,6,1274,0.5860165593,30,2174,2026
2172,"{""choices"": ""[\""Bright\"", \""Dark and lightless\"", \""Spacious\"", \""Sunny\""]"", ""correct_choice"": ""B"", ""question"": ""What is the living environment of the giant octopus?"", ""video_id"": ""7_topic_reasoning/xiaoliyu_6""}",7_topic_reasoning/xiaoliyu_6,What is the living environment of the giant octopus?,"[""Bright"", ""Dark and lightless"", ""Spacious"", ""Sunny""]",topic_reasoning,B,B,B,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.9982936979504302,False,True,0.9982936979504302,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,2172,case1_high_confidence,7,1274,0.5860165593,30,2174,2026
2006,"{""choices"": ""[\""Horror\"", \""Action\"", \""War\"", \""Documentary\""]"", ""correct_choice"": ""B"", ""question"": ""What genre of movie is the clip in the video from?"", ""video_id"": ""7_topic_reasoning/en_tv_22""}",7_topic_reasoning/en_tv_22,What genre of movie is the clip in the video from?,"[""Horror"", ""Action"", ""War"", ""Documentary""]",topic_reasoning,B,A,A,0.0,0.0,tie,prob_margin,0.5,lt,224,112,0.8979384079575539,False,True,0.8979384079575539,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,2006,case1_high_confidence,8,1274,0.5860165593,30,2174,2026
1546,"{""choices"": ""[\""stomping grapes --> milking cow --> making jewelry --> water sliding\"", \""water sliding --> stomping grapes --> making jewelry --> milking cow\"", \""milking cow --> making jewelry --> stomping grapes --> water sliding\"", \""milking cow --> water sliding --> making jewelry --> stomping grapes\""]"", ""correct_choice"": ""A"", ""question"": ""Which of the following options correctly matches the sequence of actions as they actually appear in the video?"", ""video_id"": ""5_order/order_237""}",5_order/order_237,Which of the following options correctly matches the sequence of actions as they actually appear in the video?,"[""stomping grapes --> milking cow --> making jewelry --> water sliding"", ""water sliding --> stomping grapes --> making jewelry --> milking cow"", ""milking cow --> making jewelry --> stomping grapes --> water sliding"", ""milking cow --> water sliding --> making jewelry --> stomping grapes""]",order,A,C,C,0.0,0.0,tie,prob_margin,0.5,lt,224,112,0.7486035972833633,False,True,0.7486035972833633,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1546,case1_high_confidence,9,1274,0.5860165593,30,2174,2026
2044,"{""choices"": ""[\""Desert\"", \""Forest\"", \""Mountain\"", \""City\""]"", ""correct_choice"": ""B"", ""question"": ""What is the main outdoor setting where the game protagonist is located?"", ""video_id"": ""7_topic_reasoning/game_30""}",7_topic_reasoning/game_30,What is the main outdoor setting where the game protagonist is located?,"[""Desert"", ""Forest"", ""Mountain"", ""City""]",topic_reasoning,B,B,B,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.887056328356266,False,True,0.887056328356266,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,2044,case1_high_confidence,10,1274,0.5860165593,30,2174,2026
1983,"{""choices"": ""[\""Sunny\"", \""Snowing\"", \""Windy\"", \""Drizzling\""]"", ""correct_choice"": ""A"", ""question"": ""What is the weather like in the video?"", ""video_id"": ""7_topic_reasoning/ego_2""}",7_topic_reasoning/ego_2,What is the weather like in the video?,"[""Sunny"", ""Snowing"", ""Windy"", ""Drizzling""]",topic_reasoning,A,A,A,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.8288582414388657,False,True,0.8288582414388657,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1983,case1_high_confidence,11,1274,0.5860165593,30,2174,2026
1842,"{""choices"": ""[\""Burglary\"", \""Fighting\"", \""Shoplifting\"", \""Explosion\""]"", ""correct_choice"": ""C"", ""question"": ""Are there any irregularities in this surveillance video? If there are, what sort are they?"", ""video_id"": ""6_anomaly_reco/surveil_37""}",6_anomaly_reco/surveil_37,"Are there any irregularities in this surveillance video? If there are, what sort are they?","[""Burglary"", ""Fighting"", ""Shoplifting"", ""Explosion""]",anomaly_reco,C,C,C,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.9872409128583968,False,True,0.9872409128583968,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1842,case1_high_confidence,12,1274,0.5860165593,30,2174,2026
2078,"{""choices"": ""[\""Marketplace\"", \""Park\"", \""Office\"", \""Stadium\""]"", ""correct_choice"": ""A"", ""question"": ""What is the main setting of the video?"", ""video_id"": ""7_topic_reasoning/movie101_107""}",7_topic_reasoning/movie101_107,What is the main setting of the video?,"[""Marketplace"", ""Park"", ""Office"", ""Stadium""]",topic_reasoning,A,A,A,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.9987549320503604,False,True,0.9987549320503604,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,2078,case1_high_confidence,13,1274,0.5860165593,30,2174,2026
1684,"{""choices"": ""[\""4->3->2->1\"", \""1->2->3->4\"", \""3->2->1->4\"", \""2->1->4->3\""]"", ""correct_choice"": ""D"", ""question"": ""Arrange the following events from the video in the correct chronological order: (1) Woman measures and cuts the wallpaper; (2) Woman grabs wallpaper paste and materials; (3) Woman hangs the wallpaper and flattens it; (4) Woman pastes the wallpaper with a brush and soaks it."", ""video_id"": ""5_order/order_70""}",5_order/order_70,Arrange the following events from the video in the correct chronological order: (1) Woman measures and cuts the wallpaper; (2) Woman grabs wallpaper paste and materials; (3) Woman hangs the wallpaper and flattens it; (4) Woman pastes the wallpaper with a brush and soaks it.,"[""4->3->2->1"", ""1->2->3->4"", ""3->2->1->4"", ""2->1->4->3""]",order,D,D,D,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.9537429418414831,False,True,0.9537429418414831,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1684,case1_high_confidence,14,1274,0.5860165593,30,2174,2026
767,"{""choices"": ""[\""In a restaurant\"", \""In a garment factory\"", \""In a hospital\"", \""In a school\""]"", ""correct_choice"": ""B"", ""question"": ""Where is the woman working?"", ""video_id"": ""2_needle/needle_56""}",2_needle/needle_56,Where is the woman working?,"[""In a restaurant"", ""In a garment factory"", ""In a hospital"", ""In a school""]",findNeedle,B,B,B,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.9795411583036184,False,True,0.9795411583036184,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,767,case1_high_confidence,15,1274,0.5860165593,30,2174,2026
9,"{""choices"": ""[\""Through the crane's hook\"", \""By stepping on other people's shoulders\"", \""Jumping down from a helicopter\"", \""Jumping from the top of a truck\""]"", ""correct_choice"": ""A"", ""question"": ""How do the person in light-colored clothes and the person in dark-colored clothes climb onto the blue crane?"", ""video_id"": ""1_plotQA/9""}",1_plotQA/9,How do the person in light-colored clothes and the person in dark-colored clothes climb onto the blue crane?,"[""Through the crane's hook"", ""By stepping on other people's shoulders"", ""Jumping down from a helicopter"", ""Jumping from the top of a truck""]",plotQA,A,B,B,0.0,0.0,tie,prob_margin,0.5,lt,224,112,0.6058149635791779,False,True,0.6058149635791779,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,9,case1_high_confidence,16,1274,0.5860165593,30,2174,2026
2156,"{""choices"": ""[\""Comedy\"", \""Mystery\"", \""Action\"", \""Documentary\""]"", ""correct_choice"": ""D"", ""question"": ""What type of film is this?"", ""video_id"": ""7_topic_reasoning/movie101_89""}",7_topic_reasoning/movie101_89,What type of film is this?,"[""Comedy"", ""Mystery"", ""Action"", ""Documentary""]",topic_reasoning,D,D,D,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.9888661899603903,False,True,0.9888661899603903,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,2156,case1_high_confidence,17,1274,0.5860165593,30,2174,2026
279,"{""choices"": ""[\""Green\"", \""Black\"", \""Red\"", \""Yellow\""]"", ""correct_choice"": ""C"", ""question"": ""What color is the monster with wings in the forest in the movie?"", ""video_id"": ""1_plotQA/movie101_28""}",1_plotQA/movie101_28,What color is the monster with wings in the forest in the movie?,"[""Green"", ""Black"", ""Red"", ""Yellow""]",plotQA,C,A,A,0.0,0.0,tie,prob_margin,0.5,lt,224,112,0.5135127604007721,False,True,0.5135127604007721,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,279,case1_high_confidence,18,1274,0.5860165593,30,2174,2026
370,"{""choices"": ""[\""Red\"", \""Yellow\"", \""White\"", \""Green\""]"", ""correct_choice"": ""A"", ""question"": ""What color pants does the woman wear when walking the dog?"", ""video_id"": ""1_plotQA/movie101_6""}",1_plotQA/movie101_6,What color pants does the woman wear when walking the dog?,"[""Red"", ""Yellow"", ""White"", ""Green""]",plotQA,A,C,C,0.0,0.0,tie,prob_margin,0.5,lt,224,112,0.6647135615348816,False,True,0.6647135615348816,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,370,case1_high_confidence,19,1274,0.5860165593,30,2174,2026
877,"{""choices"": ""[\""Standing\"", \""Sitting\"", \""Kneeling\"", \""Lying down\""]"", ""correct_choice"": ""B"", ""question"": ""What is the female potter's position while stirring paint?"", ""video_id"": ""2_needle/needle_95""}",2_needle/needle_95,What is the female potter's position while stirring paint?,"[""Standing"", ""Sitting"", ""Kneeling"", ""Lying down""]",findNeedle,B,B,B,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.8644361160695553,False,True,0.8644361160695553,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,877,case1_high_confidence,20,1274,0.5860165593,30,2174,2026
335,"{""choices"": ""[\""Black\"", \""Red\"", \""Blue\"", \""Green\""]"", ""correct_choice"": ""B"", ""question"": ""What color is the pottery on the ground in the video?"", ""video_id"": ""1_plotQA/movie101_41""}",1_plotQA/movie101_41,What color is the pottery on the ground in the video?,"[""Black"", ""Red"", ""Blue"", ""Green""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.8582869842648506,False,True,0.8582869842648506,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,335,case1_high_confidence,21,1274,0.5860165593,30,2174,2026
1713,"{""choices"": ""[\""RoadAccidents\"", \""Arrest\"", \""Assault\"", \""Stealing\""]"", ""correct_choice"": ""B"", ""question"": ""Is there anything unusual in this surveillance video? If there is, what type of unusual activity is it?"", ""video_id"": ""6_anomaly_reco/surveil_10""}",6_anomaly_reco/surveil_10,"Is there anything unusual in this surveillance video? If there is, what type of unusual activity is it?","[""RoadAccidents"", ""Arrest"", ""Assault"", ""Stealing""]",anomaly_reco,B,D,C,0.0,0.0,tie,prob_margin,0.5,lt,224,112,0.518061026930809,False,False,0.518061026930809,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1713,case1_high_confidence,22,1274,0.5860165593,30,2174,2026
37,"{""choices"": ""[\""Green\"", \""Blue\"", \""Orange\"", \""White\""]"", ""correct_choice"": ""D"", ""question"": ""What color is the hair of the woman giving a speech on the stage?"", ""video_id"": ""1_plotQA/en_tv_18""}",1_plotQA/en_tv_18,What color is the hair of the woman giving a speech on the stage?,"[""Green"", ""Blue"", ""Orange"", ""White""]",plotQA,D,D,D,1.0,1.0,tie,prob_margin,0.5,lt,224,112,0.5759344398975372,False,True,0.5759344398975372,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,37,case1_high_confidence,23,1274,0.5860165593,30,2174,2026
1841,"{""choices"": ""[\""Arson\"", \""RoadAccidents\"", \""Shoplifting\"", \""Arrest\""]"", ""correct_choice"": ""C"", ""question"": ""Is there any abnormality in this surveillance video? If so, what type of abnormality is it?"", ""video_id"": ""6_anomaly_reco/surveil_36""}",6_anomaly_reco/surveil_36,"Is there any abnormality in this surveillance video? If so, what type of abnormality is it?","[""Arson"", ""RoadAccidents"", ""Shoplifting"", ""Arrest""]",anomaly_reco,C,D,D,0.0,0.0,tie,prob_margin,0.5,lt,224,112,0.8764344565570354,False,True,0.8764344565570354,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,,1841,case1_high_confidence,24,1274,0.5860165593,30,2174,2026
